Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,demographics,,text,Record ID,,,,,,,,,,,,,
study_id,demographics,,text,Study ID,,,,,,,,,,,,,
consent_dt,demographics,,text,Consent Date,,,date_mdy,1/1/2000,1/1/1950,y,,,,,,,
age_at_consent,demographics,,text,Age at Consent,,,number,18,120,,,,,,,,
under_18yo_desc,demographics,,descriptive,"<div class=""rich-text-field-label""><h4 style=""text-align: center;""><span style=""color: #e03e2d;"">Patient is Under 18 Years Old and Cannot Participate</span></h4></div>",,,,,,,[age_at_consent] <18,,,,,,
sex,demographics,,radio,Assigned Sex at Birth,"1, Male | 0, Female | 3, Intersex | 777, Not Reported or Declined",,,,,,,,,,,,
ethnicity,demographics,,radio,Ethnicity,"1, Hispanic | 0, Non-Hispanic | 777, Not Specified",,,,,,,,,,,,
race,demographics,,radio,Race,"1, Caucasian or White | 2, Black or African American | 3, American Indian or Alaskan Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 6, 2 or More Races | 888, Other | 777, Not Reported or Declined",,,,,,,,,,,,
race_other,demographics,,text,Please Specify Race,,,,,,,[race] = '888',,,,,,
med_name,medications,,text,Medication,BIOPORTAL:RXNORM,Select medication name from RxNORM ontology.,,,,,,,,,,,
med_start_dt,medications,,text,Medication Start Date,,,date_mdy,1/1/2000,today,y,,,RH,,,, @HIDEBUTTON
med_end_dt,medications,,text,Medication End Date,,,date_mdy,1/1/2000,today,y,[med_ongoing_yn] = '0',,RH,,,, @HIDEBUTTON
med_ongoing_yn,medications,,yesno,Ongoing Medication,,,,,,,,,RH,,,,
med_dosage,medications,,text,Dosage,,,short_text,,,,,,,,,,
med_frequency,medications,,radio,Frequency,"1, Daily | 2, Two times daily | 3, As needed | 4, Unspecified | 888, Other",,,,,,,,,,,,
med_frequency_otr,medications,,text,Frequency Other,,,,,,,[med_frequency] = '888',,,,,,
vitals_dt,vitals,,text,Vitals Date,,,date_mdy,1/1/2000,today,y,,,,,,,
temperature,vitals,,text,Temperature,,Celsius,number,0,50,,,,,,,,
systolic_bp,vitals,,text,Systolic Blood Pressure,,mmHg,number,0,300,,,,,,,,
diastolic_bp,vitals,,text,Diastolic Blood Pressure,,mmHg,number,0,200,,,,,,,,
pulse,vitals,,text,Heart Rate,,bpm,number,0,250,,,,,,,,
pulse_oximetry,vitals,,text,"<div class=""rich-text-field-label""><p>Pulse Oximetry (SpO<sub>2</sub>)</p></div>",,%,number,0,100,,,,,,,,
height,vitals,,text,Height,,cm,number,0,250,,[event-name] = 'initial_assessment_arm_1',,,,,,
height_piped,vitals,,descriptive,Height: [initial_assessment_arm_1][height] cm,,,,,,,[event-name] != 'initial_assessment_arm_1',,,,,,
weight,vitals,,text,Weight,,kg,number,0,300,,,,,,,,
bmi,vitals,,calc,BMI,"if([weight]<>'' and [initial_assessment_arm_1][height]<>'', 
round([weight]/([initial_assessment_arm_1][height]*[initial_assessment_arm_1][height])*10000,2)
, 
if([bmi]<>'',[bmi],''))",,,,,,,,,,,,
ecog_perform_stat,vitals,,radio,ECOG Performance Status,"0, 0 - Normal activity. Fully active, able to carry on all pre-disease performance without restriction. | 1, 1- Symptoms, but ambulatory. Restricted in physically strenuous activity, but ambulatory and able to carry out work of a light or sedentary nature (e.g. light housework, office work). | 2, 2 - In bed <50% of the time. Ambulatory and capable of all self-care, but unable to carry out any work activities. Up and about more than 50% of waking hours. | 3, 3 - In bed > 50% of the time. Capable of only limited self-care, confined to bed or chair more than 50% of waking hours. | 4, 4 - 100% bedridden. Completely disabled. Cannot carry on any self-care. Totally confined to bed or chair. | 5, 5 - Dead.",,,,,,,,,,,,
phys_exam_complete_yn,vitals,,yesno,Was Physical Exam Completed,,,,,,,,,RH,,,,
phys_exam_concern_yn,vitals,,yesno,Were there any concerning findings?,,,,,,,[phys_exam_complete_yn] = '1',,RH,,,,
phys_exam_detail,vitals,,notes,Please Specify,,,,,,y,[phys_exam_complete_yn] = '1' and [phys_exam_concern_yn] = '1',,LV,,,,
cbc_dt,laboratory_assessments,"<div class=""rich-text-field-label""><h5 style=""text-align: center;"">CBC with Differential</h5></div>",text,CBC Date,,,date_mdy,1/1/2000,today,y,[event-name] != 'longterm_followup_arm_1',,,,,,
