Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
subjectid,enrollmentdemographics,,text,Subject ID,,,,,,y,,,,,,,
screenfail,enrollmentdemographics,,descriptive,"Patients who do not meet eligibility should not be assigned a Subject ID.  All screen failures should be recorded in CRMS.


",,,,,,,,,,,,,
consent,enrollmentdemographics,Enrollment,text,Date of Consent,,,date_mdy,10/1/2015,,,,y,,,,,
eligible,enrollmentdemographics,,radio,Is Patient Eligible?,"Yes, Yes | No, No",,,,,,,y,RH,,,,
reason_not_eligible,enrollmentdemographics,,text,Reason Not Eligible,,,,,,,[eligible] = 'No',y,,,,,
eligibility_date,enrollmentdemographics,,text,Date Eligibility Determined,,,date_mdy,10/1/2015,,,[eligible] = 'Yes',y,,,,,
dob,enrollmentdemographics,Demographics,text,Date of Birth,,,date_mdy,,10/1/1999,y,[eligible] = 'Yes',y,,,,, @HIDEBUTTON
age,enrollmentdemographics,,calc,Age On Study,"rounddown(datediff([dob],[consent],""y"",""mdy""),0)",,,,,,[eligible] = 'Yes',y,,,,,
gender,enrollmentdemographics,,radio,Gender,"1, Male | 2, Female",,,,,,[eligible] = 'Yes',y,RH,,,,
wocbp_enroll,enrollmentdemographics,,radio,Is subject of WOCBP?,"Yes, Yes | No, No",Women of Child Bearing Potential (WOCBP),,,,,[gender] = '2',y,RH,,,,
wocbp_no,enrollmentdemographics,,text,"If no, please specify reason",,"i.e. postmenopausal, hysterectomy",,,,,[wocbp_enroll] = 'No',y,,,,,
race,enrollmentdemographics,,dropdown,Race,"white, White | black, Black | pacificislander, Hawaiian or Pacific Islander | asian, Asian | nativeamerican, Native American or Alaskan | twoormore, Two or more Races | notreported, Not Reported | other, Other | unk, Unknown | declined, Declined to Answer",,autocomplete,,,,[eligible] = 'Yes',y,,,,,
race_twoormore,enrollmentdemographics,,text,"If two or more, please specify.",,,,,,,[race] = 'twoormore',y,,,,,
ethnicity,enrollmentdemographics,,dropdown,Ethnicity,"hispanic, Hispanic or Latino | nonhispanic, Not Hispanic or Latino | notreported, Not Reported | unknown, Unknown | declined, Declined to Answer",,autocomplete,,,,[eligible] = 'Yes',y,,,,,
comment_enroll,enrollmentdemographics,,notes,Comment,,,,,,,,,LH,,,,
reconsent,reconsent,"This CRF is to document the re-consent of patients after a consent amendment.

Note:  Please make sure consent information matches CRMS system.",radio,Was subject re-consented?,"Yes, Yes | No, No",,,,,,,y,RH,,,,
reconsent_date,reconsent,,text,Date of Re-Consent,,,date_mdy,,,,[reconsent] = 'Yes',y,RH,,,,
reconsent_type,reconsent,,radio,Type of Consent,"Main, Main | Prog, Treatment Beyond Progression",,,,,,[reconsent] = 'Yes',y,,,,,
reconsent_version,reconsent,,text,Consent Version Date,,,date_mdy,,,,[reconsent] = 'Yes',y,RH,,,,
reconsent_embed,reconsent,,radio,Did subject answer embedded information?,"Yes, Yes | No, No",,,,,,[reconsent_type] = 'Main',y,RH,,,,
reconsent_future,reconsent,,radio,Future Contact ,"Yes, Yes | No, No",,,,,,[reconsent_embed] = 'Yes',y,RH,,,,
reconsent_comm,reconsent,,notes,Comment,,,,,,,,,LH,,,,
famhx,family_history,,radio,Family history of cancer?,"Yes, Yes | No, No | Unk, Unknown",,,,,,,y,RH,,,,
famhx_firstdeg,family_history,,notes,First Degree Family,,Example:  father - colorectal; sister - breast,,,,,[famhx] = 'Yes',y,,,,,
famhx_seconddeg,family_history,,notes,Second Degree Family,,Example:  paternal gm - ovarian; maternal uncle - lung,,,,,[famhx] = 'Yes',y,,,,,
famhx_comm,family_history,,notes,Comment,,,,,,,,,LH,,,,
diagnosis_date,cancer_history,,text,Initial Diagnosis Date,,,date_mdy,,,,,y,RH,,,, @HIDEBUTTON
tumor_lsite,cancer_history,,text,Primary Site of Cancer,,,,,,,,y,,,,,
grosstumor_loc,cancer_history,,dropdown,Gross Location of Primary Tumor,"Head, Head | Body, Body | Tail, Tail | HeadBody, Head/Body | BodyTail, Body/Tail | Other, Other | Unk, Unknown",,autocomplete,,,,,y,,,,,
gross_other,cancer_history,,notes,"Specify Location if ""Other"".",,,,,,,[grosstumor_loc] = 'Other',y,,,,,
histology,cancer_history,,dropdown,Histology,"Adenocarcinoma, Adenocarcinoma | Other, Other",,,,,,,y,,,,,
hist_other,cancer_history,,notes,"Specify histology type, if ""Other""",,,,,,,[histology] = 'Other',y,RH,,,,
