Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,general_demographics,,text,Study ID,,,,,,,,,,,,,
mrn_8,general_demographics,,text,Medical Record Number (JH********),,,jhmrn_jh8d,,,y,,y,,,,,
phi,general_demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.7175%; height: 18px;"" border=""0""> <tbody> <tr style=""height: 18px;""> <td style=""width: 19.7883%; height: 18px;"">First Name   {first_name}</td> <td style=""width: 25.7808%;"">Middle Name  {middle_name}</td> <td style=""width: 20.1069%; height: 18px;"">Last Name   {last_name}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
first_name,general_demographics,,text,First Name,,,,,,y,,y,,,,,
middle_name,general_demographics,,text,Middle Name,,,,,,y,,,,,,,
last_name,general_demographics,,text,Last Name,,,,,,y,,y,,,,,
phi_2,general_demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""0""> <tbody> <tr> <td style=""width: 46.2518%;"">Date of Birth   {dob}</td> <td style=""width: 42.8997%; height: 17px;"">Sex  {sex}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
dob,general_demographics,,text,Date of birth,,,date_mdy,,,y,,y,,,,,
age,general_demographics,,text,Age,,,,,,,,,,,,,
demographics,general_demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.7175%; height: 17px;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 30.1488%; height: 17px;"">Race   {race}</td> <td style=""width: 28.7242%; height: 17px;"">Ethnicity   {ethnicity}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
geo_demo,general_demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.7175%;"" border=""0""> <tbody> <tr> <td style=""width: 35.9034%;"">City     {city}</td> <td style=""width: 33.7633%;"">State    {state}   </td> <td style=""width: 29.3122%;"">Country     {country}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
state,general_demographics,,dropdown,State,"1, Alabama (AL) | 2, Alaska (AK) | 3, Arizona (AZ) | 4, California (CA) | 5, Colorado (CO) | 6, Connecticut (CT) | 7, Delaware (DE) | 8, District of Columbia (DC) | 9, Florida (FL) | 10, Georgia (GA) | 11, Hawaii (HI) | 12, Idaho (ID) | 13, Illinois (IL) | 14, Indiana (IN) | 15, Iowa (IA) | 16, Kansas (KS) | 17, Kentucky (KY) | 18, Louisiana (LA) | 19, Massachusetts (MA) | 20, Maryland (MD) | 21, Maine (ME) | 22, Michigan (MI) | 23, Minnesota (MN) | 24, Mississippi (MS) | 25, Missouri (MO) | 26, Montana (MT) | 27, Nebraska (NE) | 28, Nevada (NV) | 29, New Hampshire (NH) | 30, New Jersey (NJ) | 31, New Mexico (NM) | 32, New York (NY) | 33, North Carolina (NC) | 34, North Dakota (ND) | 35, Ohio (OH) | 36, Oklahoma (OK) | 37, Oregon (OR) | 38, Pennsylvania (PA) | 39, Rhode Island (RI) | 40, South Carolina (SC) | 41, South Dakota (SD) | 42, Tennessee (TN) | 43, Texas (TX) | 44, Utah (UT) | 45, Vermont (VT) | 46, Virginia (VA) | 47, Washington (WA) | 48, West Virginia (WV) | 49, Wisconsin (WI) | 50, Wyoming (WY) | 51, Unknown | 52, Puerto Rico | 53, Virgin Islands",,,,,y,,,,,,,
city,general_demographics,,text,City,,,,,,,,,,,,,
country,general_demographics,,dropdown,Country,"1, USA | 2, Other",,,,,,,,,,,,
sex,general_demographics,,radio,Gender,"0, Male | 1, Female",,,,,,,y,RH,,,,
race,general_demographics,,dropdown,Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, Latin | 6, More Than One Race | 7, Unknown / Not Reported",,,,,,,y,,,,,
ethnicity,general_demographics,,dropdown,Ethnicity,"0, Not Hispanic or Latino | 1, Hispanic or Latino | 2, Unknown / Not Reported",,,,,,,y,,,,,
phi_3,general_demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 38.1875px;"" border=""0""> <tbody> <tr style=""height: 38.1875px;""> <td style=""width: 48.3734%; height: 38.1875px;"">Language {language}</td> <td style=""width: 48.3734%; height: 38.1875px;""> <p>Interperter Needed {intrptr_needed_yn}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
language,general_demographics,,text,Language,,,,,,,,,,,,,
intrptr_needed_yn,general_demographics,,yesno,Interpreter Needed,,,,,,,,,,,,,
loc_medonc,general_demographics,,text,Local Medical Oncologist,,,,,,,,,,,,,
correlates,general_demographics,,yesno,J05112 consent,,Clinical Correlates,,,,,,,RH,,,,
bot,general_demographics,,yesno,J14110 consent,,CBOT,,,,,,,RH,,,,
fna_study,general_demographics,,yesno,J14104 consent,,FNA,,,,,,,RH,,,,
precision_med_study,general_demographics,,yesno,J1789 consent,,Precision Medicine,,,,,,,RH,,,,
genomic_db,general_demographics,,yesno,J15187 consent,,Biospecimen & Genomic Database,,,,,,,RH,,,,
other_studies,general_demographics,,text,Other study consents,,,,,,,,,,,,,
collection_protocol,collection_protocol,,checkbox,Collection Protocol,"1, J1568 | 2, J15237 | 3, Other    {collection_oth}",,,,,,,,,,,,
collection_oth,collection_protocol,,text,Other,,,,,,,[collection_protocol(3)] = '1',,,,,,
ppid_1,collection_protocol,,text,PPID,,,,,,,,,,,,,
test_type_1,collection_protocol,,checkbox,Test Type,"1, WGS | 2, WES | 3, Other    {test_oth_1}",,,,,,,,,,,,
test_oth_1,collection_protocol,,text,Other,,,,,,,[test_type_1(3)] = '1',,,,,,
file_index_1,collection_protocol,,checkbox,File Index,"1, Healytics | 2, PMAP | 3, Other    {index_oth_1}",,,,,,,,,,,,
index_oth_1,collection_protocol,,text,Other,,,,,,,[file_index_1(3)] = '1',,,,,,
ppid_2,collection_protocol,,text,PPID,,,,,,,,,,,,,
test_type_2,collection_protocol,,checkbox,Test Type,"1, WGS | 2, WES | 3, Other    {test_oth_2}",,,,,,,,,,,,
test_oth_2,collection_protocol,,text,Other,,,,,,,[test_type_2(3)] = '1',,,,,,
file_index_2,collection_protocol,,checkbox,File Index,"1, Healytics | 2, PMAP | 3, Other    {index_oth_2}",,,,,,,,,,,,
index_oth_2,collection_protocol,,text,Other,,,,,,,[file_index_2(3)] = '1',,,,,,
status_ca19_9,lab_result_index,,dropdown,Status of Carbohydrate Antigen 19-9,"1, Not performed | 2, In processing | 3, Completed | 4, Unknown",,,,,,,,,,,,
status_carcinoembryonic_ag,lab_result_index,,dropdown,Status of Carcinoembryonic AG,"1, Not performed | 2, In processing | 3, Completed | 4, Unknown",,,,,,,,,,,,
status_hemoglobin_a1c,lab_result_index,,dropdown,Status of Hemoglobin A1C,"1, Not performed | 2, In processing | 3, Completed | 4, Unknown",,,,,,,,,,,,
status_bilirubin_total,lab_result_index,,dropdown,Status of Bilirubin Total,"1, Not performed | 2, In processing | 3, Completed | 4, Unknown",,,,,,,,,,,,
status_albumin,lab_result_index,,dropdown,Status of Albumin,"1, Not performed | 2, In processing | 3, Completed | 4, Unknown",,,,,,,,,,,,
status_platelet_count,lab_result_index,,dropdown,Status of Platelet Count,"1, Not performed | 2, In processing | 3, Completed | 4, Unknown",,,,,,,,,,,,
status_hemoglobin,lab_result_index,,dropdown,Status of Hemoglobin,"1, Not performed | 2, In processing | 3, Completed | 4, Unknown",,,,,,,,,,,,
past_medical,past_medical_and_surgical_history,,descriptive,"<div class=""rich-text-field-label""><table style=""width: 99.9653%; height: 225px;"" border=""0""> <tbody> <tr style=""height: 36px;""> <td style=""width: 98.9856%; height: 31px;"" colspan=""2"">Important Past Medical History (<em>Required</em>)</td> </tr> <tr style=""height: 18px;""> <td style=""width: 50.0156%; height: 21px;"">Diabetes                                     {diabetes}</td> <td style=""width: 48.97%; height: 21px; padding-left: 40px;"">New Onset Diabetes            {newonset_dia}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 50.0156%; height: 25px;"">Hyperlipidemia                        {hyperlipidemia}</td> <td style=""width: 48.97%; height: 25px; padding-left: 40px;"">Hypertension                         {htn}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 50.0156%; height: 25px;"">Dementia                                   {dementia}</td> <td style=""width: 48.97%; height: 25px; padding-left: 40px;"">Cerebral Vascular Disease  {cvd}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 50.0156%; height: 29px;"">Acute Myocardial Infarction {acute_mi}</td> <td style=""width: 48.97%; height: 29px; padding-left: 40px;"">Congestive Heart Failure    {chf}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 50.0156%; height: 26px;"">Chronic Liver Disease             {liver_disease}</td> <td style=""width: 48.97%; height: 26px; padding-left: 40px;"">Acute Liver Disease              {sev_liver_dis}       </td> </tr> <tr style=""height: 18px;""> <td style=""width: 50.0156%; height: 25px;"">Chronic Pulmonary Disease {pulm_dis}</td> <td style=""width: 48.97%; height: 25px; padding-left: 40px;"">Chronic Renal disorder        {renal_dis}</td> </tr> <tr style=""height: 20px;""> <td style=""width: 50.0156%; height: 20px;"">Acute Pulmonary Disease     {spd_lung}</td> <td style=""width: 48.97%; height: 20px;""> </td> </tr> <tr style=""height: 23px;""> <td style=""width: 98.9856%; height: 23px;"" colspan=""2"">Cancer (Other than current PDAC)   {cancer}     If yes, specify {other_specify}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
type_of_diabetes,past_medical_and_surgical_history,,dropdown,Type of diabetes,"1, Non-insulin dependent | 2, Insulin dependent",,,,,,[diabetes] = '1',,,,,,
other_specify,past_medical_and_surgical_history,,text,"Other cancer other than current pancreatic tumor, specify
",,,,,,,,,,,,,
pulm_dis,past_medical_and_surgical_history,,yesno,Pulmonary Disease,,,,,,,,,RH,,,,
acute_mi,past_medical_and_surgical_history,,yesno,Acute Myocardial Infarction,,,,,,,,,RH,,,,
chf,past_medical_and_surgical_history,,yesno,Congestive Heart Failure,,,,,,,,,RH,,,,
htn,past_medical_and_surgical_history,,yesno,Hypertension,,,,,,,,,RH,,,,
cvd,past_medical_and_surgical_history,,yesno,Cerebral Vascular Disease,,,,,,,,,RH,,,,
dementia,past_medical_and_surgical_history,,yesno,Dementia ,,,,,,,,,RH,,,,
liver_disease,past_medical_and_surgical_history,,yesno,Liver Disease,,,,,,,,,RH,,,,
diabetes,past_medical_and_surgical_history,,yesno,Diabetes,,,,,,,,,RH,,,,
newonset_dia,past_medical_and_surgical_history,,yesno,New Onset Diabetes ,,New Diagnosis within last 1 year,,,,,,,RH,,,,
spd_lung,past_medical_and_surgical_history,,yesno,Severe Pulmonary disease,,,,,,,,,RH,,,,
renal_dis,past_medical_and_surgical_history,,yesno,Renal disease,,,,,,,,,RH,,,,
cancer,past_medical_and_surgical_history,,yesno,Cancer (Other than current pancreatic tumor),,,,,,,,,RH,,,,
sev_liver_dis,past_medical_and_surgical_history,,yesno,Severe Liver Disease,,,,,,,,,RH,,,,
hyperlipidemia,past_medical_and_surgical_history,,yesno,Hyperlipidemia ,,,,,,,,,RH,,,,
dia_compl,past_medical_and_surgical_history,,yesno,Diabetes Complications,,,,,,,,,RH,,,,
con_tis_dis,past_medical_and_surgical_history,,yesno,Connective tissue disease,,,,,,,,,RH,,,,
pud,past_medical_and_surgical_history,,yesno,Peptic Ulcer Disease,,,,,,,,,RH,,,,
pvd,past_medical_and_surgical_history,,yesno,Peripheral Vascular Disease,,,,,,,,,RH,,,,
hemiplegia,past_medical_and_surgical_history,,yesno,Hemiplegia,,,,,,,,,RH,,,,
obstructive_sleep_apnea,past_medical_and_surgical_history,,yesno,Obstructive sleep apnea ,,,,,,,,,RH,,,,
metastatic_solid_tumor,past_medical_and_surgical_history,,yesno,Metastatic Solid Tumor ,,,,,,,,,RH,,,,
hiv_disease,past_medical_and_surgical_history,,yesno,HIV,,,,,,,,,RH,,,,
other_history_yesno,past_medical_and_surgical_history,,yesno,"Other history except above
",,,,,,,,,RH,,,,
other_history,past_medical_and_surgical_history,,text,"Other history except above, specify
",,,,,,,[other_history_yesno] = '1',,,,,,
abdominal_surgery,past_medical_and_surgical_history,,yesno,Abdominal Surgery,,,,,,,,,RH,,,,
abdominal_surgery_type,past_medical_and_surgical_history,,checkbox,Abdominal surgery type ,"1, Stomach | 2, Bile duct | 3, Pancreas | 4, Liver | 5, Small bowel | 6, Other",,,,,,,,,,,,
family_history_of_pancreat,family_history,,yesno,Family history of pancreatic cancer ,,,,,,,,,,,,,
family_history_of_other_ca,family_history,,yesno,Family history of other cancer ,,,,,,,,,,,,,
family_history_ca_specify,family_history,,text,Family history of other cancer. Specify ,,,,,,,[family_history_of_other_ca] = '1',,,,,,
smoking,social_history,,dropdown,Smoking history,"1, Never | 2, Past | 3, Current | 4, Unknown",,,,,,,,,,,,
pack_yrs,social_history,,text,Smoking Pack years,,,,,,,[smoking] = '2' or [smoking] = '3',,,,,,
smoking_comments,social_history,,text,Smoking comments,,,,,,,[smoking] = '3' or [smoking] = '2' or [smoking] = '4',,,,,,
alcohol,social_history,,dropdown,Alcohol use,"0, Never | 1, Yes (moderate) | 2, Yes (Excess use of alcohol) | 3, Past use (moderate) | 4, Past use (excessive) | 5, Unknown",,,,,,,,,,,,
symtoms,presenting_symptoms_and_workup,,descriptive,"<div class=""rich-text-field-label""><p>Common symptoms</p> <table style=""border-collapse: collapse; width: 99.7175%;"" border=""0""> <tbody> <tr> <td style=""width: 51.6171%;"">Abdominal pain                     {abd_pain}</td> <td style=""width: 47.3617%;"">Darker Urine           {darker_urine}</td> </tr> <tr> <td style=""width: 51.6171%;"">Jaundice                                   {jaundice}</td> <td style=""width: 47.3617%;"">Acholic stools          {acolic_stools}</td> </tr> <tr> <td style=""width: 51.6171%;"">Weight loss                              {weightloss}</td> <td style=""width: 47.3617%;"">Pruritus                     {puritis}</td> </tr> <tr> <td style=""width: 51.6171%;"">Total parenteral nutrition  {tpn}</td> <td style=""width: 47.3617%;"">Other symptoms    {other_symptoms_1}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
ancillary,presenting_symptoms_and_workup,,descriptive,"<div class=""rich-text-field-label""><p>Ancillary Procedures</p> <table style=""border-collapse: collapse; width: 99.1514%; height: 206px;"" border=""0""> <tbody> <tr style=""height: 35px;""> <td style=""width: 56.5625%; height: 11px; vertical-align: top;"" colspan=""2"">Date of Diagnostic  Biopsy {date_of_diagnosis}</td> <td style=""width: 22.229%; height: 11px; vertical-align: top; text-align: right;"">Biopsy Pathology number {biopsy_path_number}<span style=""font-weight: normal;""> </span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 38.7993%; height: 29px; text-align: left; vertical-align: top;"">Biopsy results </td> <td style=""height: 29px; vertical-align: top; width: 39.9922%; text-align: right;"" colspan=""2"">{biopsy_results}</td> </tr> <tr style=""height: 17px;""> <td style=""height: 32px; vertical-align: top; width: 38.7993%;"">Biopsy Grade of Differentiation</td> <td style=""height: 32px; vertical-align: top; padding-left: 40px; width: 39.9922%; text-align: right;"" colspan=""2"">{biopsy_grade}</td> </tr> <tr style=""height: 17px;""> <td style=""vertical-align: top; width: 38.7993%; height: 23px;"">Biopsy proven Diagnosis   </td> <td style=""height: 23px; vertical-align: top; padding-left: 40px; width: 39.9922%;"" colspan=""2"">{biopsy}</td> </tr> <tr style=""height: 23px;""> <td style=""height: 24px; vertical-align: top; width: 78.7915%;"" colspan=""3"">ERCP    {ercp}</td> </tr> <tr style=""height: 32px;""> <td style=""width: 38.7993%; height: 26px; vertical-align: top; text-align: left;"">EUS       {eus}</td> <td style=""vertical-align: top; height: 26px; text-align: center; width: 39.9922%;"" colspan=""2""> </td> </tr> <tr style=""height: 29px;""> <td style=""vertical-align: top; height: 29px; width: 38.7993%;"">Endostent </td> <td style=""vertical-align: top; width: 39.9922%; height: 29px;"" colspan=""2"">{endostent}</td> </tr> <tr style=""height: 32px;""> <td style=""vertical-align: top; height: 32px; width: 38.7993%; text-align: left;"">Percutaneous Transhepatic BIliary Drainage</td> <td style=""vertical-align: top; width: 39.9922%; height: 32px;"" colspan=""2"">{percutaneous_transhepatic}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
abd_pain,presenting_symptoms_and_workup,,yesno,"Abdominal pain
",,,,,,,,,RH,,,,
jaundice,presenting_symptoms_and_workup,,yesno,Jaundice,,,,,,,,,RH,,,,
weightloss,presenting_symptoms_and_workup,,yesno,Weight loss,,,,,,,,,RH,,,,
tpn,presenting_symptoms_and_workup,,yesno,Total parenteral nutrition,,,,,,,,,RH,,,,
ecog,presenting_symptoms_and_workup,,dropdown,Preoperative ECOG,"0, ECOG0 | 1, ECOG1 | 2, ECOG2 | 3, ECOG3 | 4, ECOG4",,,,,,,y,,,,,
treatment_naive_ca_19_9,presenting_symptoms_and_workup,,text,Treatment-naive CA 19-9,,,,,,,,y,,,,,
baseline_ca_19_9,presenting_symptoms_and_workup,,text,CA 19-9 before surgery,,right before surgery,,,,,,,,,,,
darker_urine,presenting_symptoms_and_workup,,yesno,Darker Urine ,,,,,,,,,RH,,,,
acolic_stools,presenting_symptoms_and_workup,,yesno,Acholic stools ,,,,,,,,,RH,,,,
puritis,presenting_symptoms_and_workup,,yesno,Pruritus ,,Itching,,,,,,,RH,,,,
other_symptoms_1,presenting_symptoms_and_workup,,text,Other symptoms 1 ,,,,,,,,,,,,,
height_baseline,presenting_symptoms_and_workup,,text,Baseline Height,,In meters,,,,,,,,,,,
