Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,subject_demographics,,text,Subject Study Number,,,,,,,,,,,,,
sitesubjectid,subject_demographics,,text,Site Subject ID,,ex: CHOP001,,,,,,,,,,,
site,subject_demographics,,text,Site/Institution,,,,,,,,,,,,,
yearofbirth,subject_demographics,,text,Year of Birth,,,number,1900,2022,y,,,,,,,
birthmonth,subject_demographics,,radio,Month of Birth,"1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December",,,,,,,,,,,,
sex,subject_demographics,,radio,Sex Assigned at Birth,"1, Male | 0, Female",,,,,,,,,,,,
race,subject_demographics,,radio,Race,"1, White | 2, Black or African American | 3, American Indian or Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 6, Other/Unknown",,,,,,,,,,,,
ethnicity,subject_demographics,,radio,Ethnicity,"1, Hispanic | 2, Non-hispanic | 3, Other/Unknown",,,,,,,,,,,,
nf1inheritance,subject_demographics,,radio,NF1 Inheritance Pattern ,"1, Familial | 2, Sporadic | 3, Unknown",,,,,,,,,,,,
nf1germlinetesting,subject_demographics,,yesno,Prior NF1 germline testing?,,,,,,,,,,,,,
nf1germline,subject_demographics,,file,NF1 Germline Report,,Upload redacted report/results,,,,,[nf1germlinetesting] = '1',,,,,,
status,subject_demographics,,radio,Current Status,"1, Active Surveillance | 2, Deceased | 3, Loss to follow-up",,,,,,,,,,,,
calendaryearlastseen,subject_demographics,,text,Calendar Year of Last Follow Up ,,ex: 2022,number,2005,2023,y,[status] = '1' or [status] = '3',,,,,,
monthlastfu,subject_demographics,,radio,Month of Last Follow Up,"1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December",,,,,,[calendaryearlastseen] >= 1,,,,,,
causeofdeath,subject_demographics,,radio,Cause of death? ,"1, Tumor-related | 2, Treatment-related | 3, Other/Unknown",,,,,,[status] = '2',,,,,,
agedeath,subject_demographics,,text,Calendar Year of Death,,ex: 2022,number,2005,2023,,[status] = '2',,,,,,
monthofdeath,subject_demographics,,radio,Month of Death ,"1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December",,,,,,[status] = '2',,,,,,
yearradiologicdx,target_tumor_presentationdiagnosis,,text,"Calendar year at time of radiologic diagnosis (i.e., MRI highly suspicious of malignancy, MRI prompting biopsy, etc)",,ex: 2021,number,2005,2023,y,,,,,,,
monthdiagnosis,target_tumor_presentationdiagnosis,,radio,Month of Radiologic Diagnosis,"1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December",,,,,,,,,,,,
presentation,target_tumor_presentationdiagnosis,,radio,Presentation at Radiologic Diagnosis,"1, Asymptomatic/incidental/screening/LGG surveillance MRI | 2, Symptomatic | 3, Unknown/Not Documented",,,,,,,,,,,,
performancescore,target_tumor_presentationdiagnosis,,radio,Karnofsky/Lansky Performance Score at Radiologic Diagnosis,"100, 100 | 90, 90 | 80, 80 | 70, 70 | 60, 60 | 50, 50 | 40, 40 | 30, 30 | 20, 20 | 10, 10 | 0, Not Documented",,,,,,,,,,,,
tumor_location,target_tumor_presentationdiagnosis,,radio,Target Tumor Location (Primary/Dominant Location),"1, Cerebellar/posterior fossa | 2, Brainstem | 3, Optic pathway/hypothalamic | 4, Cortical | 5, Other midline structures (ex: thalamus, basal ganglia) | 6, Brainstem/Other Midline structure | 7, Spinal Cord | 8, Other",,,,,,,,,,,,
metastaticdisease,target_tumor_presentationdiagnosis,,radio,Metastatic Disease at Time of Target Tumor Diagnosis,"1, Yes | 0, No",,,,,,,,,,,,
transformation,target_tumor_presentationdiagnosis,,radio,"Are you concerned that the target tumor transformed (e.g., underwent malignant transformation) from a pre-existing lesion/low grade glioma? ","1, Yes | 0, No | 2, Unknown (No Imaging Prior to Diagnosis or Prior Imaging Unavailable)",,,,,,,,,,,,
transformationpriorbx,target_tumor_presentationdiagnosis,,yesno,Was the transformed tumor previously biopsied? ,,,,,,,[transformation] = '1',,,,,,
transformedpathngs,target_tumor_presentationdiagnosis,,file,"Please upload prior pathology report and next generation sequencing, if available",,,,,,,[transformationpriorbx] = '1',,,,,,
targetpriorrx,target_tumor_presentationdiagnosis,,yesno,Was the target tumor previously treated as a low grade glioma?,,,,,,,,,,,,,
targetpriorrxregimen,target_tumor_presentationdiagnosis,,radio,Number of Unique Prior Treatment Regimens for Low Grade Glioma (Prior to Transformation/HGG Diagnosis),"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 or Greater",,,,,,[targetpriorrx] = '1',,,,,,
treatmentregimensprior,target_tumor_presentationdiagnosis,,checkbox,Select All Prior Treatment Regimens That Apply,"1, Carboplatinum | 2, Vincristine | 3, 6-thioguanine | 4, Procarbazine | 5, Lomustine | 6, Vinblastine | 7, Vinorelbine | 8, MEK inhibitor | 9, Bevacizumab | 10, Irinotecan | 11, MTOR inhibitor | 12, Temozolomide | 13, Etoposide | 14, poly-ICLC | 15, BRAF inhibitor | 16, Surgery | 17, Radiation | 18, Other",,,,,,[targetpriorrx] = '1',,,,,,
yearpriorrxage,target_tumor_presentationdiagnosis,,text,Calendar year at end of most recent prior treatment regimen,,,number,2005,2023,y,[targetpriorrx] = '1',,,,,,
monthpriorrx,target_tumor_presentationdiagnosis,,text,Month at end of most recent prior treatment regimen,,,,,,,[targetpriorrx] = '1',,,,,,
concurrentopg,target_tumor_presentationdiagnosis,,radio,Presence of optic pathway glioma at time of target tumor diagnosis?,"1, Yes | 0, No",,,,,,,,,,,,
concurrentbrainstem,target_tumor_presentationdiagnosis,,radio,Presence of low grade glioma of the brainstem at time of target tumor diagnosis? ,"1, Yes | 0, No",,,,,,,,,,,,
concurrentlgg,target_tumor_presentationdiagnosis,,radio,Presence of other low grade glioma of brain at time of target tumor diagnosis? ,"1, Yes | 0, No",,,,,,,,,,,,
concurrentspinalglioma,target_tumor_presentationdiagnosis,,radio,Presence of spinal cord glioma at time of target tumor diagnosis? ,"1, Yes | 0, No",,,,,,,,,,,,
cerebrovasculardisease,target_tumor_presentationdiagnosis,,yesno,"Known cerebrovascular disease (example: aneurysm, moyamoya syndrome) at time of target tumor diagnosis? ",,,,,,,,,,,,,
priorothertreatment,target_tumor_presentationdiagnosis,,yesno,"Prior non-target tumor directed chemotherapy (i.e., for other LGG, PN, MPNST)",,,,,,,,,,,,,
